rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward
25.22,0.0,1.48,1316,374,37812,100,,
25.41,0.0,1.49,1320,375,37915,100,,
25.39,0.0,1.49,1324,376,37987,100,,
25.05,0.0,1.43,1328,377,38087,100,,
24.87,0.0,1.42,1332,378,38157,100,,
24.54,0.0,1.36,1336,379,38214,100,,
24.53,0.0,1.34,1340,380,38313,100,,
24.26,0.0,1.29,1344,381,38424,100,,
23.3,0.0,1.13,1348,381,38493,100,,
23.53,0.0,1.16,1352,382,38605,100,,
23.44,0.0,1.18,1356,383,38692,100,,
23.29,0.0,1.19,1360,384,38769,100,,
24.13,0.0,1.26,1364,386,38946,100,,
24.35,0.0,1.28,1368,387,39040,100,,
24.22,0.0,1.27,1372,388,39112,100,,
24.01,0.0,1.24,1376,388,39182,100,,
23.83,0.0,1.22,1380,389,39286,100,,
24.19,0.0,1.28,1384,391,39416,100,,
24.0,0.0,1.28,1388,392,39504,100,,
23.29,0.0,1.22,1392,393,39582,100,,
23.12,0.0,1.21,1396,394,39663,100,,
23.7,0.0,1.3,1400,396,39802,100,,
23.56,0.0,1.29,1404,397,39909,100,,
22.97,0.0,1.21,1408,397,39969,100,,
23.34,0.0,1.24,1412,399,40059,100,,
23.8,0.0,1.25,1416,400,40192,100,,
23.6,0.0,1.23,1420,401,40275,100,,
23.78,0.0,1.27,1424,401,40365,100,,
23.6,0.0,1.27,1428,402,40447,100,,
24.13,0.0,1.33,1432,403,40570,100,,
24.97,0.0,1.41,1436,405,40711,100,,
25.4,0.0,1.45,1440,407,40853,100,,
25.05,0.0,1.41,1444,409,40929,100,,
25.1,0.0,1.42,1448,410,41003,99,,
25.44,0.0,1.42,1452,412,41149,99,,
25.23,0.0,1.38,1456,413,41215,99,,
25.41,0.0,1.41,1460,414,41310,99,,
24.23,0.0,1.28,1464,414,41369,99,,
23.95,0.0,1.27,1468,415,41435,99,,
23.93,0.0,1.26,1472,416,41505,99,,
24.15,0.0,1.29,1476,416,41597,99,,
24.14,0.0,1.29,1480,417,41700,99,,
23.62,0.0,1.24,1484,418,41778,99,,
23.62,0.0,1.21,1488,419,41866,99,,
24.17,0.0,1.27,1492,420,41999,99,,
23.98,0.0,1.23,1496,421,42061,99,,
23.65,0.0,1.18,1500,422,42167,99,,
23.54,0.0,1.19,1504,423,42263,99,,
24.26,0.0,1.29,1508,424,42395,99,,
23.83,0.0,1.26,1512,425,42442,99,,
23.79,0.0,1.26,1516,427,42571,99,,
23.77,0.0,1.25,1520,428,42652,99,,
23.97,0.0,1.28,1524,429,42762,99,,
23.96,0.0,1.26,1528,429,42843,99,,
24.02,0.0,1.27,1532,431,42972,99,,
23.4,0.0,1.23,1536,431,43051,99,,
22.66,0.0,1.17,1540,432,43119,99,,
22.94,0.0,1.24,1544,433,43223,99,,
22.96,0.0,1.25,1548,434,43299,99,,
22.35,0.0,1.19,1552,434,43384,99,,
22.22,0.0,1.17,1556,435,43437,99,,
22.01,0.0,1.15,1560,436,43511,99,,
22.69,0.0,1.24,1564,437,43638,99,,
22.64,0.0,1.22,1568,438,43699,99,,
22.81,0.0,1.21,1572,439,43786,99,,
22.74,0.0,1.19,1576,440,43871,99,,
22.73,0.0,1.22,1580,441,43973,99,,
22.86,0.0,1.24,1584,442,44064,99,,
22.73,0.0,1.25,1588,443,44139,99,,
22.14,0.0,1.17,1592,444,44213,99,,
22.25,0.0,1.18,1596,444,44286,99,,
21.83,0.0,1.12,1600,445,44350,99,,
21.69,0.0,1.1,1604,446,44432,99,,
21.09,0.0,1.03,1608,446,44504,99,,
21.34,0.0,1.05,1612,447,44576,99,,
21.03,0.0,1.05,1616,448,44674,99,,
21.09,0.0,1.06,1620,449,44761,99,,
20.54,0.0,0.99,1624,449,44816,99,,
21.1,0.0,1.01,1628,450,44953,99,,
20.98,0.0,0.99,1632,451,45070,99,,
20.66,0.0,0.95,1636,452,45117,99,,
20.59,0.0,0.94,1640,453,45178,99,,
20.31,0.0,0.87,1644,454,45254,99,,
20.69,0.0,0.91,1648,455,45368,99,,
20.52,0.0,0.9,1652,456,45436,99,,
20.72,0.0,0.91,1656,457,45509,99,,
20.7,0.0,0.91,1660,458,45581,99,,
