time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
1140,108,0.0,461,49856,28.71,1.27,,
,,0.0,,50000,,,43.75,2.25
1144,107,0.0,464,50027,29.01,1.28,,
1148,107,0.0,465,50142,29.21,1.29,,
1152,107,0.0,465,50213,28.62,1.25,,
1156,107,0.0,466,50292,27.39,1.18,,
1160,107,0.0,467,50407,27.77,1.2,,
1164,107,0.0,468,50533,26.97,1.14,,
1168,107,0.0,470,50714,27.5,1.19,,
1172,107,0.0,472,50793,26.99,1.15,,
1176,107,0.0,474,50922,27.35,1.18,,
1180,107,0.0,476,51200,29.32,1.23,,
1184,107,0.0,477,51280,29.4,1.24,,
1188,107,0.0,478,51391,29.73,1.25,,
1192,107,0.0,478,51474,28.89,1.19,,
1196,107,0.0,479,51596,29.39,1.23,,
1200,107,0.0,481,51851,31.02,1.36,,
1204,107,0.0,482,51959,30.93,1.35,,
1208,107,0.0,484,52154,31.36,1.34,,
1212,107,0.0,486,52262,31.69,1.35,,
1216,107,0.0,486,52312,29.97,1.23,,
1220,107,0.0,489,52536,31.2,1.31,,
1224,107,0.0,490,52688,31.48,1.33,,
1228,107,0.0,491,52837,32.46,1.4,,
1232,107,0.0,492,52941,32.71,1.41,,
1236,107,0.0,493,53051,33.11,1.45,,
1240,107,0.0,494,53219,33.63,1.46,,
1244,107,0.0,496,53386,33.59,1.5,,
1248,107,0.0,496,53432,32.9,1.45,,
1252,107,0.0,497,53510,32.97,1.46,,
1256,107,0.0,498,53598,33.06,1.48,,
1260,107,0.0,499,53684,32.77,1.46,,
1264,107,0.0,500,53792,32.59,1.44,,
1268,107,0.0,502,53962,32.48,1.42,,
1272,107,0.0,503,54051,32.58,1.45,,
1276,107,0.0,503,54166,32.44,1.42,,
1280,107,0.0,504,54272,30.72,1.36,,
1284,107,0.0,506,54412,31.32,1.37,,
1288,107,0.0,507,54579,31.88,1.43,,
1292,107,0.0,508,54745,32.71,1.46,,
1296,107,0.0,509,54872,32.76,1.43,,
1300,107,0.0,510,54977,31.26,1.32,,
1304,107,0.0,512,55218,32.59,1.34,,
1308,107,0.0,514,55367,32.13,1.33,,
1312,107,0.0,515,55460,31.98,1.36,,
1316,107,0.0,516,55555,32.43,1.42,,
1320,107,0.0,518,55747,32.11,1.39,,
1324,107,0.0,519,55847,31.59,1.38,,
1328,107,0.0,520,55986,31.49,1.36,,
1332,107,0.0,521,56105,31.64,1.35,,
1336,107,0.0,523,56380,33.29,1.41,,
1340,107,0.0,524,56503,32.84,1.38,,
1344,107,0.0,525,56603,32.17,1.33,,
1348,107,0.0,526,56686,32.54,1.36,,
1352,107,0.0,526,56742,32.32,1.33,,
1356,107,0.0,528,56849,32.51,1.32,,
1360,107,0.0,530,57038,33.54,1.37,,
1364,107,0.0,532,57219,34.27,1.4,,
1368,107,0.0,533,57377,34.15,1.43,,
1372,107,0.0,534,57508,34.57,1.44,,
1376,107,0.0,535,57628,34.62,1.43,,
1380,107,0.0,536,57724,34.52,1.43,,
1384,107,0.0,537,57863,34.51,1.48,,
1388,107,0.0,538,57961,33.82,1.43,,
1392,107,0.0,540,58158,34.13,1.43,,
1396,107,0.0,541,58281,34.09,1.43,,
1400,107,0.0,543,58460,34.83,1.48,,
1404,107,0.0,544,58515,32.97,1.43,,
1408,107,0.0,545,58646,32.79,1.43,,
1412,107,0.0,547,58807,33.47,1.44,,
1416,107,0.0,547,58878,33.23,1.38,,
1420,107,0.0,548,58940,31.93,1.3,,
1424,107,0.0,548,59021,31.74,1.28,,
1428,107,0.0,549,59074,30.88,1.22,,
1432,107,0.0,550,59165,30.6,1.22,,
1436,107,0.0,550,59265,28.85,1.12,,
1440,107,0.0,551,59331,28.28,1.1,,
1444,107,0.0,552,59498,28.95,1.08,,
1448,107,0.0,553,59582,28.96,1.08,,
1452,107,0.0,556,59887,31.45,1.22,,
1456,107,0.0,560,60172,33.23,1.24,,
1460,107,0.0,562,60330,32.92,1.23,,
1464,107,0.0,563,60433,32.14,1.21,,
1468,107,0.0,564,60589,32.12,1.18,,
1472,107,0.0,565,60767,32.59,1.23,,
1476,107,0.0,567,60936,33.08,1.29,,
1480,107,0.0,568,61048,33.24,1.27,,
1484,107,0.0,569,61203,33.4,1.27,,
1488,107,0.0,570,61277,33.16,1.26,,
1492,107,0.0,572,61406,32.48,1.27,,
1496,107,0.0,574,61541,32.6,1.31,,
1500,107,0.0,575,61645,31.85,1.23,,
1504,107,0.0,575,61706,31.91,1.23,,
1508,107,0.0,577,61908,32.62,1.24,,
1512,107,0.0,578,62035,32.28,1.21,,
1516,107,0.0,579,62114,32.36,1.25,,
1520,107,0.0,579,62190,32.5,1.25,,
1524,107,0.0,580,62271,32.5,1.24,,
1528,107,0.0,581,62395,33.21,1.29,,
1532,107,0.0,582,62550,33.85,1.33,,
1536,107,0.0,583,62623,33.58,1.31,,
1540,107,0.0,584,62726,33.95,1.35,,
1544,107,0.0,586,62894,33.96,1.4,,
1548,107,0.0,589,63146,35.64,1.51,,
1552,107,0.0,590,63318,34.31,1.43,,
1556,107,0.0,592,63470,32.98,1.44,,
1560,107,0.0,593,63605,32.75,1.44,,
1564,107,0.0,594,63746,33.13,1.47,,
1568,107,0.0,595,63813,32.24,1.41,,
1572,107,0.0,596,64002,32.35,1.4,,
